Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,lat,long,geometry,reported_date
Information / Theft from Person,"5495 S. Hyde Park, Chicago, IL",9/30/23 6:32 PM,9/30/23 6:30 PM,Unknown suspect snatched phone from the hand of a person waiting at an off-campus bus stop / Suspect fled to a waiting vehicle / Referred to CPD,Referred,2023-034563,41.79539363692339,-87.58387574951325,,2023-09-30
Theft,"1313 E. 60th St., Chicago, IL",10/1/23 6:41 PM,10/1/23 5:50 PM to 6:15 PM,Person walking on the sidewalk unknowingly dropped pouch containing ID and keys / Upon returning found empty pouch with all items taken,Open,23-00945,41.78601136679106,-87.594044806635,,2023-10-01
Theft,"5625 S. Ellis, Chicago, IL",10/2/23 2:21 AM,10/2/23 1:00 AM to 1:20 AM,Unsecured Divvy bicycle taken,Open,23-00947,41.79273766417981,-87.60125726678427,,2023-10-02
Theft,"1118 E. 58th St., Chicago, IL",10/2/23 3:36 PM,10/2/23 12:15 PM to 1:15 PM,"An unattended, unsecured brown leather satchel was taken from a bench in the courtyard / Complainant advised UCPD Investigations that her property had been found and all property returned / No theft occurred",Unfounded,23-00949,41.78967745544361,-87.59703753832349,,2023-10-02
Motor Vehicle Theft,"6000 S. Woodlawn, Chicago, IL",10/2/23 5:04 PM,10/2/23 4:15 PM to 5:00 PM,Parked and secured 2018 Infiniti taken from the street,Open,23-00950,41.785078879134176,-87.59638688406278,,2023-10-02
Battery,"5656 S. Maryland, Chicago, IL",10/2/23 6:15 PM,10/2/23 5:34 PM,Mental patient punched a UCM staff member / Victim declined prosecution due to suspect's mental state,Ex. Cleared,23-00953,41.7921342041933,-87.60503296834287,,2023-10-02
Information / Armed Robbery,"1233 E. 56th St., Chicago, IL",10/2/23 10:30 PM,10/2/23 10:20 PM,Two unknown suspects armed with handguns exited a vehicle and took property from two people walking on the sidewalk off-campus before reentering the waiting vehicle and driving off / CPD case,CPD,2023-034851,41.79322586335246,-87.59551972222295,,2023-10-02
Information / Armed Robbery,"5639 S. Kenwood, Chicago, IL",10/2/23 10:32 PM,10/2/23 10:30 PM,Two unknown suspects armed with handguns exited a vehicle and took property from two people walking on the sidewalk off-campus before reentering the waiting vehicle and driving off / CPD case,CPD,2023-034853,41.792874708086,-87.59317340155309,,2023-10-02
Theft,"1100 E. 57th St., Chicago, IL",10/3/23 4:24 PM,10/3/23 11:00 AM to 1:45 PM,Secured bicycle taken from bike rack,Open,23-00957,41.79148537051799,-87.59815254349274,,2023-10-03
Theft,"900 E. 57th St., Chicago, IL",10/3/23 6:26 PM,10/3/23 10:30 AM to 6:15 PM,Secured bicycle taken from bike rack,Open,23-00958,41.79142345551048,-87.60366291896173,,2023-10-03
Information / Aggravated Battery,"4358 S. Lake Park, Chicago, IL",10/3/23 5:35 PM,10/3/23 5:30 PM,CPD and UCPD responded to shots fired / Officers found two people suffered gun shot wounds and were transported to UCMED by CFD EMS / CPD case JG449425,CPD,2023-034987,41.81533182353184,-87.59781650746146,,2023-10-03
Domestic Battery,"5100 S. Cornell, Chicago, IL",10/3/23 9:09 PM,10/3/23 9:09 PM,"During the course of a domestic argument, boyfriend struck and bit girlfriend / Suspect arrested by UCPD officer",Arrest,23-00959,41.80240934324155,-87.58669911378331,,2023-10-03
Battery,"5656 S. Maryland, Chicago, IL",10/4/23 7:20 AM,10/4/23 7:15 AM,One visitor struck another during a disagreement / Victim declined prosecution,Ex. Cleared,23-00960,41.7921342041933,-87.60503296834287,,2023-10-04
Theft,"5835 S. Kimbark, Chicago, IL",10/6/23 9:39 AM,10/5/23 7:00 AM to 8:20 PM,Jacket taken from secured room,Open,23-00964,41.78899081872407,-87.59470166770689,,2023-10-06
Motor Vehicle Theft,"5656 S. Drexel, Chicago, IL",10/6/23 3:44 PM,10/6/23 5:00 AM to 2:50 PM,2017 Hyundai Elantra stolen from the street,Open,23-00969,41.79276449664923,-87.60385123961777,,2023-10-06
Information / Robbery,"5312 S. Greenwood, Chicago, IL",10/6/23 10:27 PM,10/6/23 10:15 PM,Three unknown suspects took property from a victim walking on the sidewalk off-campus before fleeing to a waiting vehicle / CPD case,CPD,2023-035426,41.7991976042178,-87.59981274176101,,2023-10-06
Information / Armed Robbery,"5118 S. Greenwood, Chicago, IL",10/6/23 10:55 PM,10/6/23 10:40 PM,"Four unknown suspects, one armed with a handgun, took property from two victims walking on the sidewalk off-campus before fleeing to a waiting vehicle / CPD case",CPD,2023-035432,41.80202744914743,-87.59987462688383,,2023-10-06
Information / Armed Robbery,"5400 S. University, Chicago, IL",10/6/23 10:34 PM,10/6/23 10:30 PM,"Four unknown suspects, one armed with a handgun, took property from two victims walking on the sidewalk off-campus before fleeing to a waiting vehicle / CPD case",CPD,2023-035429,41.79791358328043,-87.59822136750432,,2023-10-06
Theft,"5730 S. Ellis, Chicago, IL",10/8/23 5:03 PM,10/8/23 4:40 PM to 4:45 PM,"An electric scooter, secured to bike rack, was taken by an unknown person",Open,23-00978,41.79080003328852,-87.60136349415598,,2023-10-08
Theft,"5530 S. Ellis, Chicago, IL",10/9/23 12:40 PM,10/7/23 10:00 AM to 3:00 PM,"Unattended, unsecured electric scooter taken from lobby of Ratner A.C.",Open,23-00980,41.79444356299348,-87.6014480073706,,2023-10-09
Information / Theft,"5312 S. Dorchester, Chicago, IL",10/9/23 10:30 AM,10/7/23 2:00 AM to 9:00 AM,Bicycle secured to front gate of off-campus building was taken / Referred to CPD,Referred,2023-035726,41.799349798151525,-87.59185975639821,,2023-10-09
Information / Armed Robbery,"1003 E. 53rd St., Chicago, IL",10/9/23 6:24 PM,10/9/23 6:00 PM,"Two victim's attempting to secure Divvy bikes off-campus at 53rd & Ellis were surrounded by 7-10 subjects, one of whom displayed a handgun and demanded property / The suspects took the Divvy bikes and fled / CPD case JG457269",CPD,2023-035769,41.79934586261288,-87.60115647184097,,2023-10-09
Information / Theft,"5487 S. Drexel, Chicago, IL",10/10/23 7:03 AM,10/10/23 1:00 AM to 6:00 AM,Bicycle secured to city sign pole off-campus was taken by unknown person(s) / Referred to CPD,Referred,2023-035827,41.79558525378127,-87.6037614219905,,2023-10-10
Theft,"1100 E. 57th St., Chicago, IL",10/10/23 11:07 AM,9/25/23 to 10/2/23 8:00 AM to 11:00 AM,Secured bicycle taken from bike rack,Open,23-00982,41.79148537051799,-87.59815254349274,,2023-10-10
Theft,"1164 E. 55th St., Chicago, IL",10/10/23 2:14 PM,10/10/23 12:30 PM,Backpack hung over the back of a chair in the restaurant was taken by unknown person,Open,23-00983,41.79511498549493,-87.59722552598652,,2023-10-10
